pin,slack
ident_coreinst/IICE_INST/b5_nUTGT/b8_nUT_TJfx_0_a2_0:B,1428
ident_coreinst/IICE_INST/b5_nUTGT/b8_nUT_TJfx_0_a2_0:C,6467
ident_coreinst/IICE_INST/b5_nUTGT/b8_nUT_TJfx_0_a2_0:D,6411
ident_coreinst/IICE_INST/b5_nUTGT/b8_nUT_TJfx_0_a2_0:Y,1428
ident_coreinst/IICE_INST/b5_nUTGT/iicestat_reg_r0[6]:CLK,
ident_coreinst/IICE_INST/b5_nUTGT/iicestat_reg_r0[6]:D,
ident_coreinst/IICE_INST/b5_nUTGT/iicestat_reg_r0[6]:Q,
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3[1]:CLK,1424
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3[1]:D,635
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3[1]:Q,1424
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b8_2S5I_CuY_RNID1M0H:A,
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b8_2S5I_CuY_RNID1M0H:B,2226
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b8_2S5I_CuY_RNID1M0H:C,2185
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b8_2S5I_CuY_RNID1M0H:D,2017
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b8_2S5I_CuY_RNID1M0H:Y,2017
clkDiv/counter6_14:A,
clkDiv/counter6_14:B,
clkDiv/counter6_14:C,
clkDiv/counter6_14:D,
clkDiv/counter6_14:Y,
ident_coreinst/IICE_INST/b5_nUTGT/b6_Ocm0rW_2[2]:A,2519
ident_coreinst/IICE_INST/b5_nUTGT/b6_Ocm0rW_2[2]:B,2488
ident_coreinst/IICE_INST/b5_nUTGT/b6_Ocm0rW_2[2]:C,777
ident_coreinst/IICE_INST/b5_nUTGT/b6_Ocm0rW_2[2]:D,2372
ident_coreinst/IICE_INST/b5_nUTGT/b6_Ocm0rW_2[2]:Y,777
ident_coreinst/IICE_INST/b3_SoW/genblk9.b7_nYJ_BFM[2]:CLK,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b7_nYJ_BFM[2]:D,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b7_nYJ_BFM[2]:EN,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b7_nYJ_BFM[2]:Q,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b7_nYJ_BFM[2]:SLn,
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/un5_b5_PRWcJ_ac0_3:A,7553
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/un5_b5_PRWcJ_ac0_3:B,7510
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/un5_b5_PRWcJ_ac0_3:C,7450
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/un5_b5_PRWcJ_ac0_3:Y,7450
clkDiv/counter[2]:CLK,
clkDiv/counter[2]:D,
clkDiv/counter[2]:Q,
ident_coreinst/comm_block_INST/jtagi/b9_96_cLqgOF5_2:A,
ident_coreinst/comm_block_INST/jtagi/b9_96_cLqgOF5_2:B,
ident_coreinst/comm_block_INST/jtagi/b9_96_cLqgOF5_2:Y,
clkDiv/un1_counter_1_cry_17:B,
clkDiv/un1_counter_1_cry_17:CC,
clkDiv/un1_counter_1_cry_17:P,
clkDiv/un1_counter_1_cry_17:S,
clkDiv/un1_counter_1_cry_17:Y3,
clkDiv/un1_counter_1_cry_17:Y3A,
ident_coreinst/IICE_INST/b5_nUTGT/b6_Ocm0rW_i_a3_1[0]:A,2541
ident_coreinst/IICE_INST/b5_nUTGT/b6_Ocm0rW_i_a3_1[0]:B,2504
ident_coreinst/IICE_INST/b5_nUTGT/b6_Ocm0rW_i_a3_1[0]:Y,2504
slave/outBit4:CLK,
slave/outBit4:D,
slave/outBit4:Q,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG[0]:CLK,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG[0]:D,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG[0]:EN,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG[0]:Q,
